DEF,Defence,1 Infinite Loop- Cupertino- CA 95014
AWR,Agriculture and Water Resources,1600 Amphitheatre Parkway- Mountain View- CA 94043
CA,Communications and  Arts,1253 McGill College- Montreal- Quebec- H3B 2Y5
ET,Education and Training,7 Goldschmidtstraße- Göttingen- 37077
F,Finance,8 Rue de Londres- Paris- 75009
H,Health,355 Main Street- Cambridge- MA 02142
HS,Human Services,320 N. Morgan- Chicago- IL 60607
IIS,Industry- Innovation and Science,114 Willits Street- Birmingham- MI 48009
PMC,Prime Minister and Cabinet,2590 Pearl Street- Boulder- CO 80302
SS,Social Services,Unter den Linden 14- Berlin-10117
